SMILES,Cid
O=Cc1ccc(cc1)C(C)C,Cid278
OCCN1CC(C)C(C)C1,Cid279
O=C(c1ccccc1[N+](=O)[O-])C,Cid280
N(=Nc1ccc(N)cc1(N))c2ccccc2,Cid281
OCC1OCCCC1,Cid282
O(CC1(OC1)(C))CC2(OC2)(C),Cid283
O=P(OCCOCCCC)(OCCOCCCC)OCCOCCCC,Cid284
O=C1Oc2ccccc2(C=C1),Cid285
Oc1cc(ccc1CCCCCC)C,Cid286
O=C(O)CCCCCCCCCCN,Cid287
Oc1ccc(cc1)C(C(C)C)C(C)CCC,Cid288
OCCc1ccccc1,Cid289
O=C(N(CC)CC)C,Cid290
O(Cc1ccccc1C)C3CC2(OC3(C)(CC2))C(C)C,Cid291
O=C(Oc1ccc(cc1)C)C,Cid292
O=C1C=C(C(=O)C(=C1C)C)C,Cid293
O=C(O)c1cc(cc(c1)S(=O)(=O)O)C(=O)O,Cid294
O=C(OC(C)C)C=C(C=CCC(C)CCCC(OC)(C)C)C,Cid295
NCCN(C)C,Cid296
O=C(O)c1cc(ccc1(O))S(=O)(=O)O,Cid297
O=Cc1ccc(OC)c(OC)c1,Cid298
O=C(C=CC=CC=CC)C,Cid299
O=[N+]([O-])c1cc(c(N)c(c1)Cl)Cl,Cid300
O=C(c1ccccc1)C(C)C,Cid301
OC(c1ccccc1)CCCC,Cid302
Oc1ccccc1CCCCCCC,Cid303
O=[N+]([O-])c1cccc(c1C)C,Cid304
O=Cc1ncccc1,Cid305
O=C(O)C3=C(C)CSC2N3(C(=O)C2(NC(=O)C(N)c1ccccc1)),Cid306
O=C=NCc1cccc(c1)CN=C=O,Cid307
O=C(NO)c1ccccc1(O),Cid308
O=C1OC(=CCCC)c2ccccc12,Cid309
O(C)CCOCc1ccccc1,Cid310
OCCNc1ccccc1,Cid311
c1ccccc1,Cid312
O=Cc1ccc(O)c(OCC)c1,Cid313
OCCOCCOc1ccccc1,Cid314
O=C1OC(=CC(=C1)C)CC(C)CC(C)(C)C,Cid315
O=C(OCCC)c1cc(O)c(O)c(O)c1,Cid316
O=C(OCCOC(=O)C(=C)C)C(=C)C,Cid317
Oc1ccc(c(O)c1)C(c2ccccc2)C,Cid318
O=C(OCC1OC1)C(=C)C,Cid319
O=C(c2cccc(Oc1ccccc1)c2)C,Cid320
O=C(c1ccc(O)cc1(O))c2ccc(O)cc2(O),Cid321
O=Cc1ccccc1(C(=O)O),Cid322
O=C1c2ccccc2(OCC1),Cid323
O=C(O)C4N3C(=O)C(NC(=O)c1c(noc1C)c2ccccc2Cl)C3SC4(C)(C),Cid324
O=C(NC)N(O)c1ccccc1,Cid325
O=C(O)C1CCC(C(=O)O)C1,Cid326
O=C(O)c2cc(N)ccc2(C(=O)c1ccccc1),Cid327
O=C(OCCOC)N,Cid328
O(c1ccc(N)cc1)CC,Cid329
O=C1NC(=O)C(N1)(C)C,Cid330
O=C(OCCC)C1Oc2ccccc2(OC1),Cid331
O=C(Oc1ccc(C=C)cc1)C,Cid332
OCC[N+](C)(CC)CC,Cid333
O=C(OCC)C(=COCC)C(=O)OCC,Cid334
O=S(=O)(Nc1ncccc1)c2ccc(N)cc2,Cid335
N1(C)CCN(C)CC1,Cid336
O=C1OC(=O)c2cc(ccc12)C(=O)c3ccc4C(=O)OC(=O)c4(c3),Cid337
O=C(Oc1ccc(cc1)CCC(=O)C)C,Cid338
O=C(Oc1ccc(C=CC)cc1(OC))C,Cid339
O=C(O)c1ccc2C(=O)OC(=O)c2(c1),Cid340
O=Cc2cccc(Oc1ccccc1)c2,Cid341
NCCN,Cid342
O=C(OC=C)C,Cid343
O=C(O)c1ccc2cc(O)ccc2(c1),Cid344
O=[N+]([O-])c1ccc(cc1)C(=C)Cl,Cid345
O=C(Nc1ccccc1)NC,Cid346
